id,tokens
21029044,14651
21031319,12054
21035152,16484
21040747,16263
21041509,9990
21045009,25222
21046341,12198
21053939,12706
21057107,14181
21058398,21079
21071236,9898
21071865,14908
21072165,18784
21075841,25301
21081107,12414
21081665,21687
21084296,19779
21084312,43491
21087009,253992
21087086,12231
21087993,10483
21088219,13623
21094652,19610
21104014,13125
21105905,11243
21106526,18507
21111690,19092
21115698,10762
21123122,11652
21128666,236232
21131277,55966
21138964,17156
21140210,11309
21142177,11523
21143326,19282
21147778,15312
21148316,16645
21149455,20536
21149620,14507
21153519,10911
21165645,14179
21167899,13003
21167955,11545
21169366,19011
21169495,6713
21172301,12594
21172426,20738
21174459,12941
21175197,13642
21175892,38287
21176891,14306
21177247,20541
21183649,11115
21190060,262822
21193413,18558
21193677,6137
21197954,161988
21207573,13729
21209328,15610
21217101,10933
21219904,11123
21220762,32154
21227473,13040
21228491,110733
21239486,17487
21241053,13960
21245041,16688
21247091,22453
21247194,15580
21255593,213053
21264299,16558
21264996,18099
21270125,13738
21276778,9110
21276865,16604
21278708,18482
21283685,18930
21283705,10382
21290439,237081
21291263,31380
21297160,16978
21298178,26061
21299839,20678
21303655,19819
21308848,16422
21310260,10458
21314613,12550
21315388,14888
21317263,12059
21319802,165691
21321019,12732
21323642,89649
21324604,9313
21326229,13391
21327212,112875
21327412,10642
21330005,13870
21332942,15560
21344678,10772
21346172,17125
21347511,14379
21352863,16205
21360152,13724
21361343,20532
21369577,553217
21369909,7456
21370850,98407
21370851,62521
21371420,9935
21372094,21962
21375505,19030
21376574,11048
21378189,14528
21380516,10146
21381755,15796
21382471,12531
21387027,31493
21388922,7260
21388958,18161
21396916,8447
21414242,11315
21419104,7925
21419681,16909
21419753,9706
21421370,10748
21421786,12954
21424165,8235
21425231,71714
21425833,16989
21435400,91495
21439955,13156
21441338,16567
21441524,16462
21448720,14302
21450519,10294
21453403,18845
21454538,19554
21454632,12263
21455924,14877
21455933,14441
21466234,22237
21466506,16772
21477590,10756
21483711,23129
21486042,13107
21498648,14752
21501384,15743
21504162,10295
21507054,10043
21507949,14878
21507950,21265
21515096,11308
21515400,11897
21515416,12138
21519808,15834
21524572,128268
21533577,12705
21538764,138849
21539325,14549
21543322,52445
21545144,123859
21559536,5554
21564548,17859
21565198,16543
21566126,14800
21567966,177083
21574213,83555
21575135,17846
21585325,16468
21590288,11682
21598943,16030
21599834,12165
21600186,19976
21600989,19563
21603259,13744
21616082,15242
21625439,11248
21625874,8004
21629984,79728
21630486,13042
21632536,10930
21640076,10412
21640851,11594
21650455,68329
21653698,12373
21655980,8661
21659511,19337
21661762,15652
21668645,10952
21672512,9981
21672526,8234
21672638,14229
21689719,16324
21691788,14307
21694781,11229
21696459,13404
21697089,13317
21704016,104079
21704670,15269
21706349,12324
21707924,11700
21710971,95612
21711001,10796
21719704,14415
21720773,12801
21726035,8080
21728995,19246
21729287,15189
21729692,11031
21729734,14816
21729945,15988
21735259,8247
21742010,14951
21748600,11271
21763425,16472
21764916,17286
21767670,15520
21774528,5252
21781373,12916
21782982,63361
21784936,11528
21795812,13756
21798982,14756
21799473,12378
21802486,68194
21802487,17408
21808968,13772
21809826,9337
21809870,48999
21813643,14939
21815644,11553
21819071,13773
21826218,124108
21827797,123358
21830807,21229
21830810,87687
21832062,14883
21835273,13010
21835921,22139
21837378,11520
21847512,12976
21861921,19170
21864500,26034
21864532,10287
21867780,18778
21868399,14544
21870805,70067
21870810,17095
21876065,7433
21876794,12233
21878319,13906
21881678,10180
21883557,16753
21890630,14784
21894901,48709
